company,com_response_to_consumer,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,timely_response,consumer_dis,complaint_id
Consumer Adjustment Company Incorporated,Closed with non-monetary relief,43,43,43,43,42,9,23,41,36,5,23,43,43,43,42,43
Consumer Asset Management (Texas),Closed,7,7,7,7,7,2,6,7,6,3,3,7,7,7,7,7
Consumer Asset Management (Texas),Closed with explanation,9,9,8,9,8,5,9,9,9,2,9,9,9,9,9,9
Consumer Asset Management (Texas),Untimely response,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2
"Consumer Attorneys of America, P.A.",Closed,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
Consumer Collection Advocates,Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Consumer Collection Advocates,Untimely response,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
Consumer Collection Management. Inc,Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Consumer Collection Management. Inc,Closed with explanation,97,97,96,97,96,33,68,97,85,12,70,97,97,97,47,97
Consumer Credit Counseling Service of San Francisco,Closed with explanation,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Consumer Credit Counseling Service of the Midwest, Inc.",Closed with explanation,5,5,5,5,2,2,2,5,5,1,3,5,5,5,5,5
"Consumer Defense Group, LLC",Untimely response,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
"Consumer Education Services, Inc.",Closed with explanation,4,4,3,4,1,1,0,4,4,1,2,4,4,4,1,4
"Consumer Financial Debt Services, LLC",Closed,5,5,5,5,5,0,0,5,5,0,0,5,5,5,5,5
"Consumer Financial Debt Services, LLC",Untimely response,12,12,12,12,9,5,0,12,11,2,9,12,12,12,5,12
Consumer Financial Services,Closed with explanation,44,44,44,44,26,27,16,44,42,3,34,44,44,44,20,44
Consumer Financial Services,Closed with monetary relief,3,3,3,3,1,2,1,3,3,0,3,3,3,3,1,3
"Consumer Financial Services Solutions, Inc.",Closed with explanation,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
Consumer Real Estate Finance Co.,Closed with explanation,16,16,16,16,0,10,2,15,9,3,12,16,16,16,11,16
Consumer Real Estate Finance Co.,Closed with non-monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
Consumer Real Estate Finance Co.,Untimely response,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1
Consumer Receivables Management LLC,Closed with explanation,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
"Consumer Recovery Solutions, LLC",Untimely response,16,16,16,16,16,11,0,16,13,2,15,16,16,16,2,16
Consumer Shield,Closed with explanation,4,4,4,4,0,0,1,3,3,0,0,4,4,4,3,4
Consumer Shield,Untimely response,3,3,3,3,0,1,0,3,2,2,1,3,3,3,0,3
Consumer Solutions Group,Closed with explanation,5,5,5,5,5,3,2,5,5,0,5,5,5,5,0,5
Contemporary Information Corp,Closed,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
Contemporary Information Corp,Closed with explanation,8,8,8,8,8,1,0,8,8,0,6,8,8,8,0,8
Contemporary Recovery Solutions Inc.,Closed with non-monetary relief,5,5,5,5,5,1,0,5,5,0,1,5,5,5,5,5
"Continental Central Credit, Inc.",Closed,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
"Continental Central Credit, Inc.",Closed with explanation,38,38,38,38,37,14,5,35,32,13,20,38,38,38,20,38
"Continental Central Credit, Inc.",Closed with non-monetary relief,4,4,4,4,4,0,1,4,4,1,0,4,4,4,3,4
Continental Credit Control,Closed with explanation,80,80,80,80,80,36,54,78,76,15,57,80,80,80,36,80
Continental Credit Control,Closed with non-monetary relief,6,6,6,6,6,3,5,6,6,1,5,6,6,6,4,6
Continental Credit Corporation,Closed with explanation,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
Continental Credit Corporation,Closed with non-monetary relief,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"Continental Currency Services, Inc.",Closed with explanation,2,2,2,2,1,1,2,2,2,0,1,2,2,2,1,2
Continental Finance Capital Corporation,Closed with explanation,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
"Continental Finance Company, LLC",Closed,6,6,3,6,2,0,1,6,6,0,1,6,6,6,6,6
"Continental Finance Company, LLC",Closed with explanation,565,565,342,565,335,285,482,559,495,76,436,565,565,565,301,565
"Continental Finance Company, LLC",Closed with monetary relief,12,12,2,12,2,1,2,12,12,2,1,12,12,12,10,12
"Continental Finance Company, LLC",Closed with non-monetary relief,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
"Continental Finance Company, LLC",In progress,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1
"Continental Title Holding Co., Inc.",Closed with non-monetary relief,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
Controlled Credit Corporation,Closed with explanation,9,9,9,9,9,2,0,9,9,1,5,9,9,9,5,9
Controlled Credit Corporation,Closed with non-monetary relief,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
"Convergence Acquisitions, LLC",Closed with explanation,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
"Convergent Resources, Inc.",Closed,12,12,12,12,12,2,0,12,11,3,2,12,12,12,12,12
"Convergent Resources, Inc.",Closed with explanation,4729,4729,4692,4729,4699,1966,2824,4672,4243,761,3401,4729,4729,4729,2040,4729
Convergys,Closed,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2
Convergys,Closed with explanation,43,43,41,43,41,14,33,43,41,10,26,43,43,43,29,43
Convergys,Closed with non-monetary relief,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Conville & Conville, PLLC",Closed with explanation,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1
Cooling & Winter LLC,Closed with explanation,135,135,133,135,134,76,92,130,123,14,115,135,135,135,52,135
Cooper Hoffman Klein Associates,Closed with explanation,45,45,43,45,42,31,40,45,39,6,42,45,45,45,45,45
Cooper Hoffman Klein Associates,Untimely response,4,4,4,4,4,4,0,4,1,2,4,4,4,4,4,4
Copper Lake Financial,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
Cordoba & Associates,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Cordoba & Associates,Untimely response,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Cordoza & Wexler Recovery Services,Closed with explanation,32,32,32,32,31,22,8,31,27,6,30,32,32,32,0,32
"Core Advisory Group, LLC",Closed with explanation,4,4,4,4,0,0,2,4,4,0,2,4,4,4,4,4
"Core Advisory Group, LLC",Closed with monetary relief,24,24,24,24,0,20,14,24,21,3,23,24,24,24,23,24
"Core Advisory Group, LLC",Untimely response,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
"Core Mortgage Services, LLC",Closed with explanation,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
"Core Recoveries, LLC",Closed with explanation,8,8,8,8,8,4,4,8,8,1,4,8,8,8,4,8
"CoreTitle, LLC",Closed with explanation,2,2,2,2,1,0,2,2,2,0,1,2,2,2,1,2
"Cornerstone Holdings, Inc.",Closed with explanation,27,27,27,27,27,13,0,27,21,5,24,27,27,27,1,27
Cornerstone Home Lending Inc.,Closed,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
Cornerstone Home Lending Inc.,Closed with explanation,75,75,75,75,2,36,57,75,66,12,61,75,75,75,37,75
Cornerstone Home Lending Inc.,Closed with monetary relief,9,9,9,9,0,2,4,9,9,2,3,9,9,9,8,9
Cornerstone Home Mortgage,Closed with monetary relief,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
Cornerstone Home Mortgage,Closed with non-monetary relief,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"Cornerstone Legal Group, LLC",Closed with monetary relief,3,3,3,3,1,1,0,3,3,0,1,3,3,3,1,3
"Cornerstone Legal Group, LLC",Untimely response,2,2,2,2,1,2,0,2,2,0,2,2,2,2,2,2
Cornerstone Mediation LLC,Closed,3,3,3,3,3,2,1,3,2,0,2,3,3,3,3,3
Cornerstone Mediation LLC,Closed with explanation,3,3,3,3,3,2,0,3,3,0,2,3,3,3,3,3
Cornerstone Mitigation,Closed with explanation,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
Cornerstone Mitigation,Untimely response,5,5,2,5,2,3,0,5,4,0,4,5,5,5,5,5
"Cornerstone Mortgage Group, LLC",Closed with explanation,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
Cosmo Credit Repair,Untimely response,2,2,2,2,0,2,0,2,2,0,2,2,2,2,0,2
Cottonwood Financial Ltd.,Closed,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1
Cottonwood Financial Ltd.,Closed with explanation,266,266,204,266,160,125,161,259,215,47,178,266,266,266,172,266
Cottonwood Financial Ltd.,Closed with monetary relief,2,2,1,2,0,2,2,2,1,1,2,2,2,2,1,2
Cottonwood Financial Ltd.,Closed with non-monetary relief,6,6,5,6,2,5,1,6,5,3,5,6,6,6,2,6
Couch Conville & Blitt LLC,Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Couch Conville & Blitt LLC,Closed with explanation,45,45,43,45,42,15,3,44,41,13,27,45,45,45,31,45
"Coulter Dove & Harris, PC",Closed with explanation,2,2,2,2,2,2,1,2,2,0,2,2,2,2,1,2
"Coulter Dove & Harris, PC",Closed with non-monetary relief,3,3,3,3,3,1,0,3,3,1,2,3,3,3,2,3
"Counsel Mortgage Group, LLC",Closed with explanation,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
Counselors Title LLC,Closed with explanation,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
CountryPlace Acceptance Corporation,Closed,8,8,7,8,1,1,1,8,7,1,3,8,8,8,8,8
CountryPlace Acceptance Corporation,Closed with explanation,25,25,25,25,3,8,4,25,20,6,15,25,25,25,15,25
CountryPlace Acceptance Corporation,Closed with monetary relief,2,2,2,2,0,2,1,2,1,2,2,2,2,2,1,2
Courtesy Finance LLC,Closed with explanation,4,4,4,4,3,1,0,4,3,0,4,4,4,4,1,4
Courtney & Camp,Closed with explanation,3,3,3,3,3,1,1,3,3,1,2,3,3,3,2,3
Covington Capital Corporation,Closed with explanation,2,2,2,2,2,1,2,2,2,0,1,2,2,2,0,2
Craig's Auto & RV Inc,Closed with explanation,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
Credence Funding Corporation,Closed with explanation,7,7,7,7,0,5,4,7,6,7,7,7,7,7,0,7
"Credence Resource Management, LLC",Closed,4,4,4,4,4,1,1,4,4,0,2,4,4,4,4,4
"Credence Resource Management, LLC",Closed with explanation,802,802,801,802,800,354,216,785,702,125,638,802,802,802,249,802
"Credence Resource Management, LLC",Closed with non-monetary relief,71,71,70,71,71,37,68,70,60,15,61,71,71,71,65,71
"Credence Resource Management, LLC",In progress,18,18,18,18,18,0,0,17,16,6,0,18,18,18,0,18
Credential Acceptance Corporation,Closed with explanation,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
Credential Acceptance Corporation,Closed with non-monetary relief,2,2,2,2,2,1,0,2,2,0,1,2,2,2,0,2
CrediautoUSA Financial Company LLC,Closed with explanation,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
CrediautoUSA Financial Company LLC,Untimely response,3,3,3,3,3,3,0,3,3,0,3,3,3,3,0,3
Credible Labs Inc.,Closed with explanation,3,3,3,3,1,3,3,3,3,0,3,3,3,3,0,3
"Credit & Collection Recovery Services, Inc.",Closed with explanation,6,6,6,6,6,6,5,6,3,0,6,6,6,6,5,6
"Credit & Collection Recovery Services, Inc.",Closed with non-monetary relief,2,2,2,2,2,1,0,2,2,1,2,2,2,2,1,2
"Credit Adjustment Services of Harrisburg, Inc",Closed with explanation,2,2,2,2,2,0,1,2,2,0,1,2,2,2,1,2
"Credit Adjustment Services of Harrisburg, Inc",Closed with monetary relief,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Credit Adjustment, Inc",Closed with explanation,3,3,3,3,3,2,3,3,3,1,3,3,3,3,2,3
Credit Adjustments Inc,Closed with explanation,98,98,97,98,98,44,79,94,83,11,75,98,98,98,37,98
Credit Adjustments Inc,Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Credit Associates of Maui, LTD",Closed with explanation,14,14,14,14,14,3,2,14,13,3,9,14,14,14,7,14
"Credit Associates, Inc. (MO)",Closed,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"Credit Associates, Inc. (MO)",Closed with explanation,11,11,11,11,11,5,1,11,5,3,11,11,11,11,4,11
Credit Bureau Central Inc (MS),Closed with explanation,8,8,8,8,8,1,0,8,7,1,7,8,8,8,2,8
"Credit Bureau Central, Inc (NV)",Closed with explanation,20,20,18,20,20,0,0,20,20,4,0,20,20,20,20,20
"Credit Bureau Central, Inc (NV)",Untimely response,4,4,4,4,4,0,0,4,4,0,2,4,4,4,2,4
"Credit Bureau Collection Services, Inc.",Closed,2,2,2,2,2,1,0,2,1,0,1,2,2,2,2,2
"Credit Bureau Collection Services, Inc.",Closed with explanation,34,34,34,34,34,7,0,34,29,6,15,34,34,34,26,34
"Credit Bureau Collection Services, Inc.",Closed with monetary relief,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2
"Credit Bureau Collection Services, Inc.",Closed with non-monetary relief,195,195,194,195,194,52,0,195,180,25,107,195,195,195,104,195
"Credit Bureau Data, Inc.",Closed with explanation,7,7,7,7,7,2,4,7,5,2,4,7,7,7,4,7
"Credit Bureau Data, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Bureau Financial Services, Inc.",Untimely response,10,10,10,10,9,4,0,9,9,1,9,10,10,10,0,10
Credit Bureau Services Association,Closed with explanation,76,76,76,76,76,33,14,74,66,27,60,76,76,76,26,76
Credit Bureau Services Association,Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Credit Bureau Services Inc.,Closed with explanation,10,10,10,10,10,6,7,10,9,1,9,10,10,10,5,10
Credit Bureau Services of Iowa Inc.,Closed with explanation,6,6,6,6,6,2,3,6,5,2,6,6,6,6,0,6
Credit Bureau Services of Iowa Inc.,Closed with non-monetary relief,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1
"Credit Bureau Services, LLC",Closed with explanation,9,9,8,9,9,2,2,8,8,3,4,9,9,9,7,9
"Credit Bureau Services, LLC",Closed with non-monetary relief,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Credit Bureau Systems, Inc.",Closed,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"Credit Bureau Systems, Inc.",Closed with explanation,70,70,68,70,70,30,56,68,60,14,53,70,70,70,31,70
"Credit Bureau Systems, Inc.",Closed with non-monetary relief,3,3,3,3,3,1,2,3,2,0,1,3,3,3,3,3
"Credit Bureau of Bessemer, Inc",Closed with explanation,22,22,22,22,22,12,16,22,16,0,22,22,22,22,8,22
"Credit Bureau of Canyon, Inc",Closed with explanation,5,5,5,5,5,1,1,5,5,0,5,5,5,5,0,5
"Credit Bureau of Canyon, Inc",Closed with non-monetary relief,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Credit Bureau of Carbon County,Closed with explanation,58,58,58,58,58,24,0,56,49,12,46,58,58,58,17,58
Credit Bureau of Carbon County,Closed with non-monetary relief,3,3,3,3,3,2,0,3,3,0,3,3,3,3,2,3
Credit Bureau of Carbon County,In progress,4,4,4,4,4,0,0,4,4,2,0,4,4,4,0,4
"Credit Bureau of Columbia, Inc.",Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"Credit Bureau of Columbia, Inc.",Closed with non-monetary relief,8,8,8,8,8,2,3,8,7,1,4,8,8,8,8,8
"Credit Bureau of Council Bluffs, Inc DBA Credit Information Systems",Closed with explanation,9,9,9,9,9,3,1,9,9,6,9,9,9,9,0,9
"Credit Bureau of Farmington, Inc",Closed with explanation,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2
"Credit Bureau of Farmington, Inc",Closed with non-monetary relief,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
"Credit Bureau of Howell County, LLC",Closed with explanation,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2
"Credit Bureau of Jamestown, Inc.",Closed with explanation,6,6,6,6,6,3,3,6,4,2,5,6,6,6,3,6
"Credit Bureau of Jonesboro, Inc.",Closed with explanation,6,6,4,6,6,5,0,6,5,0,6,6,6,6,4,6
"Credit Bureau of Jonesboro, Inc.",Closed with non-monetary relief,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"Credit Bureau of Lancaster County, Inc.",Closed with explanation,52,52,51,52,52,20,17,52,47,4,36,52,52,52,39,52
"Credit Bureau of Lewiston-Clarkston, Inc",Closed with explanation,5,5,5,5,5,3,4,5,4,1,4,5,5,5,2,5
"Credit Bureau of Marianna, Inc",Closed with explanation,2,2,2,2,2,0,1,2,2,0,0,2,2,2,1,2
"Credit Bureau of New Ulm, Inc.",Closed,2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,2
"Credit Bureau of New Ulm, Inc.",Closed with explanation,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
"Credit Bureau of New Ulm, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Credit Bureau of Northern California Collections Services Inc,Closed with explanation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
Credit Bureau of San Luis Obispo & Santa Barbara Counties,Closed with explanation,14,14,13,14,14,8,8,14,11,1,11,14,14,14,10,14
"Credit Bureau of Traverse City, Inc.(Closed)",Closed with explanation,3,3,3,3,3,1,1,3,2,1,1,3,3,3,3,3
Credit Bureau of Twin Falls Inc,Closed with explanation,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3
"Credit Bureau of York, Inc.",Closed,6,6,5,6,6,0,0,6,6,0,0,6,6,6,6,6
"Credit Bureau of York, Inc.",Closed with explanation,18,18,17,18,18,5,1,18,17,3,10,18,18,18,7,18
"Credit Bureau of York, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"Credit Bureau of the South, Inc.",Closed,2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,2
"Credit Bureau of the South, Inc.",Closed with explanation,28,28,28,28,28,13,19,28,22,6,23,28,28,28,11,28
Credit Card Acquisitions Group,Closed,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Credit Card Acquisitions Group,Closed with explanation,8,8,8,8,7,6,2,8,5,1,6,8,8,8,1,8
Credit Card Receivables Fund Incorporated,Closed,5,5,3,5,4,0,0,5,5,0,0,5,5,5,5,5
Credit Card Receivables Fund Incorporated,Closed with explanation,214,214,209,214,206,77,0,212,193,31,129,214,214,214,124,214
Credit Card Receivables Fund Incorporated,Closed with monetary relief,9,9,9,9,9,3,0,9,8,1,4,9,9,9,8,9
"Credit Center, LLC",Closed,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
"Credit Center, LLC",Closed with explanation,13,13,13,13,13,7,2,13,8,0,12,13,13,13,3,13
"Credit Center, LLC",Closed with non-monetary relief,7,7,7,7,7,1,4,7,7,1,4,7,7,7,7,7
"Credit Central Holdings, LLC",Closed with explanation,166,166,161,166,85,58,67,165,145,20,94,166,166,166,127,166
"Credit Clearing House of America, Inc.",Closed,9,9,9,9,9,4,0,9,8,2,7,9,9,9,9,9
"Credit Clearing House of America, Inc.",Closed with explanation,21,21,20,21,21,7,0,21,18,1,13,21,21,21,8,21
"Credit Collection Partners, Inc.",Closed with explanation,7,7,7,7,7,6,2,7,7,1,7,7,7,7,0,7
"Credit Collection Partners, Inc.",Closed with non-monetary relief,3,3,3,3,3,1,2,3,2,1,1,3,3,3,3,3
"Credit Collections Services, Inc.",Closed with explanation,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
"Credit Collections Services, Inc.",Untimely response,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
"Credit Collections U.S.A., L.L.C.",Closed,2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,2
"Credit Collections U.S.A., L.L.C.",Closed with explanation,49,49,49,49,49,23,31,46,39,11,39,49,49,49,18,49
"Credit Collections U.S.A., L.L.C.",Untimely response,57,57,57,57,57,30,0,57,38,10,53,57,57,57,19,57
Credit Connection LLC,Closed with explanation,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
"Credit Consulting Services, Inc.",Closed,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"Credit Consulting Services, Inc.",Closed with explanation,42,42,42,42,42,24,21,40,33,3,33,42,42,42,23,42
"Credit Consulting Services, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"Credit Control Company, Inc.",Closed with explanation,13,13,13,13,13,6,1,13,13,4,11,13,13,13,0,13
"Credit Control Company, Inc.",Closed with non-monetary relief,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Credit Corp Solutions Inc.,Closed with explanation,120,120,117,120,115,51,59,118,105,20,83,120,120,120,45,120
Credit Corp Solutions Inc.,Closed with monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Credit Corp Solutions Inc.,Closed with non-monetary relief,16,16,16,16,16,0,0,16,16,1,0,16,16,16,16,16
Credit Council Corp,Closed with explanation,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
"Credit Counsel, Inc.",Closed,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"Credit Counsel, Inc.",Closed with explanation,35,35,35,35,35,23,26,35,34,3,32,35,35,35,9,35
Credit Diva of Dallas Inc.,Closed with explanation,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1
"Credit Financial Services, lnc",Closed with explanation,15,15,15,15,15,2,1,15,15,2,3,15,15,15,15,15
"Credit Financial Services, lnc",Untimely response,6,6,6,6,6,1,0,6,6,0,6,6,6,6,1,6
"Credit Information Bureau, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Information Bureau, Inc.",Closed with explanation,6,6,6,6,6,4,1,6,5,0,6,6,6,6,3,6
Credit International Corporation,Closed,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
Credit International Corporation,Closed with explanation,37,37,36,37,37,17,19,37,35,9,28,37,37,37,22,37
"Credit Karma, Inc.",Closed with explanation,938,938,526,938,911,452,440,922,808,100,868,938,938,938,424,938
Credit Lending Services Inc.,Closed with explanation,4,4,4,4,4,2,3,4,3,0,4,4,4,4,0,4
"Credit Management Control, Inc.",Closed,21,21,21,21,21,8,20,21,17,5,17,21,21,21,21,21
"Credit Management Control, Inc.",Closed with explanation,68,68,68,68,68,19,61,67,61,12,56,68,68,68,21,68
"Credit Management Control, Inc.",Closed with non-monetary relief,9,9,9,9,9,0,1,9,9,2,1,9,9,9,9,9
"Credit Management Services, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Management Services, Inc.",Closed with explanation,37,37,37,37,37,16,1,37,29,7,26,37,37,37,21,37
Credit Management Systems,Closed with explanation,2,2,2,2,2,1,1,2,2,0,2,2,2,2,0,2
Credit Mount,Closed with explanation,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1
Credit One LLC,Closed with explanation,10,10,9,10,9,4,0,10,9,3,6,10,10,10,6,10
Credit Plus Inc,Closed,2,2,0,2,2,1,0,2,2,0,1,2,2,2,2,2
Credit Plus Inc,Closed with explanation,347,347,291,347,317,170,2,344,311,67,308,347,347,347,78,347
Credit Plus Inc,Closed with non-monetary relief,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
"Credit Protection Association, L.P.",Closed,112,112,112,112,112,22,34,110,107,14,37,112,112,112,112,112
"Credit Protection Association, L.P.",Closed with explanation,470,470,468,470,469,211,387,465,413,69,370,470,470,470,122,470
"Credit Protection Association, L.P.",Closed with monetary relief,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Credit Protection Association, L.P.",Closed with non-monetary relief,390,390,383,390,387,118,200,388,355,71,174,390,390,390,390,390
Credit Recovery Consultants,Closed with explanation,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
"Credit Regulating Services, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Regulating Services, Inc.",Closed with explanation,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Credit Regulating Services, Inc.",Untimely response,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2
"Credit Reporting Services, Inc.",Untimely response,4,4,4,4,4,1,0,4,4,0,4,4,4,4,1,4
"Credit Resolutions, LLC",Closed with explanation,3,3,3,3,3,1,2,3,3,0,2,3,3,3,1,3
"Credit Resolutions, LLC",Closed with monetary relief,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
Credit Restoration of Texas,Closed with monetary relief,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
Credit Service Company,Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
Credit Service Company,Closed with explanation,3,3,3,3,3,0,0,3,3,0,0,3,3,3,3,3
"Credit Service Company, INC",Closed with explanation,99,99,99,99,98,38,22,96,85,19,78,99,99,99,40,99
Credit Service International Corp,Closed with explanation,12,12,12,12,12,6,0,12,8,3,11,12,12,12,3,12
"Credit Service of Central Washington, Inc.",Closed with explanation,5,5,5,5,5,5,0,5,5,0,5,5,5,5,2,5
"Credit Service of Central Washington, Inc.",Closed with monetary relief,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Credit Service of Logan, Inc.",Closed,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Service of Logan, Inc.",Closed with explanation,6,6,6,6,6,3,3,6,6,1,6,6,6,6,6,6
"Credit Service of Logan, Inc.",Untimely response,7,7,7,7,1,6,0,7,6,1,6,7,7,7,0,7
"Credit Service, Inc",Closed with explanation,21,21,20,21,21,10,11,21,21,3,15,21,21,21,11,21
"Credit Services Corporation, LLC",Closed with explanation,3,3,3,3,2,0,0,3,3,1,1,3,3,3,0,3
"Credit Services Corporation, LLC",Closed with non-monetary relief,8,8,8,8,1,7,0,8,8,1,8,8,8,8,0,8
"Credit Services, Inc.",Closed with explanation,3,3,3,3,3,1,1,3,3,1,3,3,3,3,0,3
"Credit Shop, Incorporated",Closed,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
"Credit Shop, Incorporated",Closed with explanation,5,5,4,5,2,3,2,5,5,0,4,5,5,5,2,5
"Credit Shop, Incorporated",In progress,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
Credit Solutions,Untimely response,21,21,21,21,19,10,0,21,19,4,18,21,21,21,10,21
Credit Solutions LLC,Closed with explanation,2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,2
Credit Solutions LLC,Untimely response,8,8,8,8,8,2,0,8,7,0,7,8,8,8,0,8
"Credit Solutions, LLC (KY)",Closed with explanation,52,52,52,52,52,21,9,51,42,7,41,52,52,52,28,52
"Credit Solutions, LLC (KY)",Closed with monetary relief,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
"Credit Systems International, Inc.",Closed with explanation,354,354,351,354,353,121,2,353,328,36,266,354,354,354,173,354
"Credit Systems of the Fox Valley, Inc.",Closed,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
