company,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,com_response_to_consumer,timely_response,consumer_dis,complaint_id
CONRAD CREDIT CORPORATION,50,50,50,50,50,21,5,50,45,12,32,50,50,50,50,30,50
"CONSUMER PORTFOLIO SERVICES, INC.",641,641,634,641,407,293,11,629,554,72,450,641,641,641,641,297,641
"CONSUMER PROTECTION ASSISTANCE COALITION, INC",12,12,12,12,3,6,0,12,11,2,8,12,12,12,12,7,12
"CONTINENTAL HOME LOANS, INC",15,15,15,15,0,0,0,15,15,1,0,15,15,15,15,15,15
CONTINENTAL MORTGAGE BANKERS,2,2,2,2,1,1,1,2,1,0,1,2,2,2,2,1,2
CONTOUR MORTGAGE CORPORATION,18,18,18,18,1,12,4,18,16,4,16,18,18,18,18,10,18
CONTRACT CALLERS INC,371,371,371,371,369,169,168,367,341,41,280,371,371,371,371,151,371
CONTRACT RESOLVE GROUP LLC,30,30,30,30,30,16,1,29,23,1,22,30,30,30,30,14,30
"CONVERGING CAPITAL, LLC",1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
COOLEY ENTERPRISES INC,42,42,42,42,32,29,15,42,37,1,39,42,42,42,42,14,42
COOPER HEALTH SYSTEM,11,11,11,11,11,2,1,11,11,3,10,11,11,11,11,3,11
CORELOGIC INC,1318,1318,1000,1318,1220,525,1210,1298,1177,183,1075,1318,1318,1318,1318,404,1318
"CORNERSTONE MORTGAGE, INC.",12,12,12,12,0,4,5,12,10,1,7,12,12,12,12,9,12
"CORNERSTONE RESOLUTION GROUP, INC.",17,17,17,17,17,0,0,17,17,0,0,17,17,17,17,17,17
CORPORATE INVESTORS MORTGAGE,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
"COUNTRY CLUB MORTGAGE, INC.",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"CR-MPM, LLC dba Don Carro",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"CRA Collections, Inc",30,30,29,30,30,15,3,29,28,0,21,30,30,30,30,24,30
CRE Credit Services,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
CREDICO. INC,64,64,64,64,64,29,3,63,51,5,41,64,64,64,64,38,64
CREDIGY SOLUTIONS INC.,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
CREDIT ACCEPTANCE CORPORATION,1344,1344,1334,1344,905,632,1134,1325,1151,174,967,1344,1344,1344,1344,556,1344
"CREDIT ASSOCIATES, INC. (OR)",3,3,3,3,3,2,2,3,2,1,2,3,3,3,3,2,3
"CREDIT BUREAU ASSOCIATES-NORTHEAST, INC.",13,13,12,13,13,6,2,13,12,0,9,13,13,13,13,7,13
"CREDIT BUREAU OF LANCASTER & PALMDALE, A CORPORATION",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
"CREDIT BUREAU OF NAPA COUNTY, INC.",202,202,199,202,198,51,66,202,188,36,90,202,202,202,202,177,202
CREDIT CARD MANAGEMENT SERVICES INC,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"CREDIT CONCEPTS, INC.",16,16,15,16,13,9,14,16,10,3,14,16,16,16,16,4,16
"CREDIT WORLD SERVICES, INC.",26,26,25,26,26,13,5,26,24,11,17,26,26,26,26,13,26
CRESCENT MORTGAGE COMPANY,7,7,7,7,0,1,1,7,6,1,2,7,7,7,7,6,7
CRESCO CAPITAL INC.,10,10,10,10,8,4,2,10,10,1,7,10,10,10,10,1,10
CRL Home Loans,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
CROSSCOUNTRY MORTGAGE INC,77,77,77,77,3,36,71,72,61,15,58,77,77,77,77,29,77
CROWN MORTGAGE CO.,3,3,3,3,0,1,3,2,1,0,2,3,3,3,3,1,3
CSO Financial,28,28,28,28,28,10,13,27,24,3,18,28,28,28,28,19,28
"CSTONE MORTGAGE, INC.",3,3,3,3,0,3,1,3,2,2,3,3,3,3,3,1,3
CU MORTGAGE SERVICES INC.,9,9,9,9,0,3,0,9,9,2,5,9,9,9,9,4,9
"CU Recovery, Inc.",41,41,41,41,39,22,11,40,35,7,32,41,41,41,41,19,41
CURO Intermediate Holdings,1286,1286,980,1286,568,584,3,1268,1120,197,939,1286,1286,1286,1286,611,1286
CW Financial,12,12,12,12,11,2,0,11,9,3,6,12,12,12,12,7,12
Cactus Jacks Auto Sales,3,3,3,3,3,0,0,3,3,0,0,3,3,3,3,0,3
Cade Investments LLC,23,23,23,23,23,1,3,23,23,1,3,23,23,23,23,23,23
Cadillac Accounts Receivable Management,23,23,23,23,23,9,4,23,20,6,14,23,23,23,23,13,23
Cal-Tenn Financial LLC,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
CalAtlantic Financial Services Inc,14,14,14,14,0,6,0,14,12,3,13,14,14,14,14,2,14
CalLoan Corp,2,2,2,2,0,0,1,2,2,2,1,2,2,2,2,2,2
"Caliber Home Loans, Inc.",3463,3463,3456,3463,184,1118,0,3417,3121,485,1936,3463,3463,3463,3463,2330,3463
California Accounts Service,33,33,33,33,33,10,18,33,31,1,23,33,33,33,33,18,33
"California Business Bureau, Inc.",209,209,207,209,208,76,153,208,204,28,137,209,209,209,209,143,209
"Caliver Beach Mortgage, LLC",4,4,4,4,0,3,0,4,4,1,4,4,4,4,4,0,4
Calvin Dean Homolka II,2,2,2,2,2,1,1,2,1,0,1,2,2,2,2,1,2
"Cam Credits, Inc.",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
"Camelot Financial Services, Inc.",11,11,11,11,4,5,6,11,11,2,8,11,11,11,11,5,11
Campos Financial Corp.,2,2,2,2,0,1,0,2,2,0,2,2,2,2,2,0,2
"Campus Student Funding, LLC",48,48,48,48,41,20,19,48,45,4,40,48,48,48,48,42,48
Cannon & Cannon Firm PC,4,4,4,4,4,1,0,4,4,0,1,4,4,4,4,3,4
Canyon Mortgage Corp.,2,2,2,2,1,0,1,2,2,0,2,2,2,2,2,0,2
Capehart & Scatchard PA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Capio Partners, LLC",656,656,654,656,656,272,0,646,583,88,483,656,656,656,656,235,656
Capital 1 Consultants,24,24,24,24,21,11,0,24,20,4,22,24,24,24,24,0,24
"Capital Accounts, LLC",626,626,623,626,622,296,561,618,552,72,508,626,626,626,626,263,626
"Capital Alliance Financial, LLC",29,29,28,29,24,10,1,29,25,3,17,29,29,29,29,20,29
"Capital Benefit, Inc.",2,2,2,2,0,1,1,2,2,0,1,2,2,2,2,2,2
"Capital Collections, LLC",1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"Capital Credit and Collection Service, Inc.",24,24,24,24,24,14,4,24,20,5,21,24,24,24,24,6,24
"Capital Financial Group, LLC of Illinois",2,2,2,2,0,0,0,2,1,0,1,2,2,2,2,1,2
"Capital For Change, Inc.",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
Capital Home Advocacy Center,3,3,3,3,0,1,0,3,3,0,1,3,3,3,3,0,3
"Capital Link Management, LLC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Capital Management Services, LP",340,340,331,340,327,114,194,336,311,56,193,340,340,340,340,240,340
"Capital Markets Cooporative, LLC",94,94,94,94,2,49,22,93,75,14,69,94,94,94,94,32,94
Capital Recovery Corporation,10,10,10,10,10,6,2,10,10,2,8,10,10,10,10,5,10
"Capital Recovery Systems, Inc.",17,17,17,17,17,6,4,17,17,1,10,17,17,17,17,10,17
"Capital Recovery, LLC (Closed)",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
Capital Servicing Group,3,3,3,3,3,1,0,3,3,1,1,3,3,3,3,3,3
Capitol Credit Company,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2
"Capitol Credit Services, Inc",10,10,10,10,9,2,0,9,8,2,5,10,10,10,10,3,10
"Capstone Credit & Collection, LLC.",78,78,78,78,78,37,4,74,71,11,67,78,78,78,78,6,78
"Capstone Funding Group, Inc.",4,4,4,4,0,3,0,4,3,0,4,4,4,4,4,4,4
"Capture Financial, LLC",2,2,2,2,2,0,0,2,2,1,1,2,2,2,2,2,2
Car Cage Motors Inc,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Car Cash of Lawrenceville LLC,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"Car Credit Finance, LLC",3,3,3,3,1,1,2,3,2,1,3,3,3,3,3,2,3
"Car Credit Solutions, Inc.",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
CarFinance Capital LLC,85,85,80,85,47,47,67,85,79,13,67,85,85,85,85,48,85
"CarMax, Inc.",293,293,291,293,190,120,0,289,274,34,229,293,293,293,293,119,293
"Carbucks of Delaware, Inc",5,5,5,5,1,0,0,4,4,1,0,5,5,5,5,4,5
"Cardinal Accounts, Inc.",5,5,5,5,5,2,5,5,5,1,5,5,5,5,5,4,5
Care Cash Express LLC,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1
Carfast Financial Holdings,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
Carma Enterprises Inc,9,9,8,9,2,6,1,9,9,1,8,9,9,9,9,9,9
"Carmen V. Porreca, P.C.",8,8,8,8,8,2,6,8,8,1,6,8,8,8,8,6,8
"Carolina Finance, LLC",24,24,24,24,19,12,22,23,22,1,21,24,24,24,24,6,24
"Caroline Peters Belsom, Attorney at Law, LLC",1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
"Carpenter, Hazlewood, Delgado & Bolen, PLC",7,7,7,7,7,5,1,7,6,1,7,7,7,7,7,3,7
Cars America Inc.,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Cars Financial, Inc",2,2,2,2,0,0,0,2,2,0,1,2,2,2,2,2,2
CarsNow LLC,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
"Carter Business Service, Inc.",8,8,8,8,8,5,7,8,6,1,8,8,8,8,8,1,8
"Carter-Young, Inc.",213,213,208,213,213,97,162,212,200,39,179,213,213,213,213,79,213
"Carvana Group, LLC",58,58,58,58,55,40,11,58,46,14,51,58,58,58,58,3,58
"Cascade Capital, LLC",92,92,90,92,87,40,62,92,80,21,65,92,92,92,92,45,92
"Cascade Collections, Inc.",32,32,32,32,32,14,0,31,29,6,26,32,32,32,32,15,32
"Cascade Creditors Service, llc",4,4,4,4,4,3,0,4,4,0,3,4,4,4,4,0,4
"Cascade Mortgage, Inc.",6,6,6,6,0,2,0,6,5,2,4,6,6,6,6,3,6
"Case Law Firm, S.C.",2,2,2,2,2,1,1,2,2,0,1,2,2,2,2,1,2
"Casesa Bowden Barlow, P.A.",2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,1,2
"Cash Express, LLC",62,62,41,62,18,27,27,59,45,11,38,62,62,62,62,35,62
Cash Money LLC,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,2
"Cash Security, Inc.",5,5,5,5,4,4,5,5,3,0,5,5,5,5,5,0,5
"Cash Time Title Loans, Inc.",14,14,14,14,6,6,4,14,13,3,8,14,14,14,14,9,14
Cash-Installment LLC,2,2,2,2,1,0,0,2,2,0,1,2,2,2,2,1,2
CashLink USA,2,2,2,2,0,2,1,2,2,0,2,2,2,2,2,0,2
"Cashbak, LLC",2,2,2,2,0,1,1,2,2,1,2,2,2,2,2,1,2
"Cashco Financial Services, Inc",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
Castle Credit Co Holdings,50,50,49,50,30,26,15,48,44,11,42,50,50,50,50,22,50
"Castle Restorations, Inc.",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
Catalyst Mortgage Inc.,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1
Cavalier Mortgage Group,4,4,4,4,0,1,0,4,3,1,4,4,4,4,4,2,4
"Cawley & Bergmann, LLP",56,56,56,56,56,14,1,56,49,12,23,56,56,56,56,39,56
"Cawthorn, Deskevich & Gavin, P.c.",3,3,3,3,3,2,0,3,3,0,3,3,3,3,3,2,3
Ceannate,165,165,165,165,163,64,2,160,152,18,100,165,165,165,165,111,165
"Cedars Business Services, LLC",136,136,135,136,133,56,0,132,119,23,94,136,136,136,136,56,136
"Celentano, Stadtmauer & Walentowicz, LLP",2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,1,2
"Center Street Finance, LP dba CSF Servicing",2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,0,2
"Central Atlantic Legal Group, PLLC, t/a Booth, Strange & Daniel",3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,3
Central Atlantic Sales Inc. T/A Priority Buy Here Pay Here,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2
Central Business Funding,9,9,9,9,8,3,4,9,9,0,6,9,9,9,9,5,9
"Central Capital Arbitration Firm, LLC",3,3,3,3,3,1,0,3,3,0,1,3,3,3,3,3,3
Central Kentucky Collections,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,0,2
"Central Kentucky Management Services, Inc",4,4,4,4,4,3,0,4,4,0,3,4,4,4,4,1,4
Central Portfolio Control Inc.,154,154,152,154,149,52,53,147,128,28,91,154,154,154,154,82,154
"Central Professional Services, Inc.",2,2,2,2,2,0,1,2,2,1,0,2,2,2,2,2,2
"Central Service Bureau, Inc.",6,6,6,6,6,5,0,6,5,1,6,6,6,6,6,6,6
"Central States Recovery, Inc.",102,102,101,102,102,46,5,102,80,7,79,102,102,102,102,41,102
Centralized Business Solutions Company,15,15,15,15,14,6,1,15,13,2,11,15,15,15,15,4,15
Centric Asset Management Inc,20,20,19,20,19,10,5,19,15,3,16,20,20,20,20,17,20
Centron Services,37,37,37,37,37,17,0,36,31,7,28,37,37,37,37,21,37
"Century Credit & Collections, LLC",17,17,16,17,17,7,7,17,17,2,12,17,17,17,17,8,17
Century Debt Solutions Inc.,3,3,3,3,3,0,2,3,3,1,2,3,3,3,3,1,3
"Century Finance, Inc.",3,3,3,3,3,2,1,3,2,1,3,3,3,3,3,1,3
Century Financial Group,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Century Financial Services, Inc.",10,10,10,10,10,3,0,10,9,0,5,10,10,10,10,5,10
Century First Credit Solutions,10,10,10,10,2,5,5,10,10,4,9,10,10,10,10,2,10
"Certegy Holdings, LLC",94,94,94,94,73,38,93,89,70,22,64,94,94,94,94,0,94
"Certified Bureau of the South, Inc",15,15,15,15,15,4,0,15,15,0,12,15,15,15,15,3,15
"Certified Collectors, Inc.",15,15,15,15,15,0,7,15,14,2,10,15,15,15,15,7,15
Certified Credit & Collection Bureau,17,17,17,17,17,8,11,17,14,5,12,17,17,17,17,5,17
"Certified Credit Associates, Inc.",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"Certified Credit Reporting, Inc.",30,30,25,30,28,6,11,30,27,2,21,30,30,30,30,7,30
Certified Direct Solutions,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Certified Recovery Inc,11,11,11,11,11,1,2,11,10,1,2,11,11,11,11,8,11
"Certified Recovery Systems, Inc.",22,22,22,22,22,5,6,22,22,5,8,22,22,22,22,22,22
"Certified Services, Inc.",31,31,31,31,31,10,1,30,28,2,18,31,31,31,31,15,31
Chaos Home Loans LLC,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,0,2
Chaparral Inc,10,10,10,10,7,6,0,10,10,0,8,10,10,10,10,4,10
Chaplain Financial Services LLC,51,51,48,51,48,28,1,48,45,5,42,51,51,51,51,22,51
"Chaplin & Papa, P.C.",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2
"Charlottesville Bureau of Credits, Inc",45,45,44,45,44,14,5,45,41,12,29,45,45,45,45,34,45
Charlottesville Settlement Company,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Charter Financial Services, Inc.",2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,0,2
Cheadle Law Firm,7,7,7,7,7,4,5,7,7,0,6,7,7,7,7,1,7
"Check Cashiers, Inc.",2,2,2,2,0,1,1,1,1,0,1,2,2,2,2,0,2
Check Cashing & Loans,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1
"Check City Partnership, LLC",28,28,20,28,11,9,9,28,28,3,16,28,28,28,28,22,28
Check First Inc,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Check Fraud Services,8,8,8,8,7,3,0,8,7,0,4,8,8,8,8,5,8
Check N Title Loans,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,0,2
Check Recovery Group,3,3,3,3,3,2,2,3,2,0,3,3,3,3,3,0,3
"Check Security Associates, LLC",72,72,69,72,68,40,60,71,65,6,63,72,72,72,72,49,72
"Checkr, Inc",213,213,202,213,211,99,3,205,184,20,182,213,213,213,213,12,213
"Cheek Law Offices, LLC",13,13,12,13,12,5,9,13,13,1,7,13,13,13,13,12,13
"Chek Cash, Inc.",5,5,4,5,3,4,5,4,4,1,4,5,5,5,5,3,5
"Cheney Financial Services, Inc.",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
"Cherry Creek Strategic Advisors, LLC",23,23,23,23,22,1,0,23,23,6,1,23,23,23,23,22,23
Cheryl A. Warzynski PLLC,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Chicago Car Center, Inc.",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"Child Support Recovery Services, Inc.",10,10,10,10,10,4,4,10,9,1,9,10,10,10,10,3,10
Chime Inc.,4,4,4,4,0,0,1,2,2,2,2,4,4,4,4,0,4
"Choice Money Transfer, Inc.",3,3,3,3,0,1,0,3,3,0,2,3,3,3,3,0,3
Choice Mtg INC.,3,3,3,3,1,3,3,3,1,0,3,3,3,3,3,1,3
"Choice Recovery, Inc.",427,427,425,427,427,196,336,423,379,62,348,427,427,427,427,157,427
Chrome Capital Group LLC,6,6,6,6,5,3,0,6,4,1,5,6,6,6,6,2,6
Churchill Debt Settlement,3,3,3,3,1,0,2,3,3,2,1,3,3,3,3,3,3
"Cianfrone, Nikoloff, Grant, & Greenberg, P.A.",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Ciconte Wasserman Scerba & Kerrick, LLC",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
Cimmaron Escrow Inc.,5,5,5,5,0,0,0,5,5,2,1,5,5,5,5,4,5
Circle Internet Financial,35,35,35,35,4,27,7,18,14,4,31,35,35,35,35,4,35
"Circleback Lending, Inc.(Closed)",13,13,12,13,2,5,6,13,10,3,10,13,13,13,13,13,13
"Citi Management Group, LLC",61,61,54,61,54,23,30,61,57,11,53,61,61,61,61,55,61
Citizens Savings & Loan Corporation,9,9,9,9,3,2,3,9,8,0,6,9,9,9,9,5,9
"City Enterprises, LLC",7,7,7,7,6,6,6,7,7,0,6,7,7,7,7,2,7
City First Mortgage Corp,2,2,2,2,0,0,2,2,2,0,1,2,2,2,2,0,2
"City First Mortgage Services, LLC.",2,2,2,2,0,0,1,2,2,1,1,2,2,2,2,1,2
"Citywide Mortgage Associates, Inc.",2,2,2,2,0,0,0,2,2,1,0,2,2,2,2,2,2
"Civic Financial Services, Inc.",9,9,9,9,0,4,0,9,9,2,7,9,9,9,9,4,9
"Claims Recovery Systems, Inc.",2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,2,2
"Clarfield, Okon, Salomone and Pincus, P.L.",6,6,6,6,5,4,1,6,5,2,4,6,6,6,6,5,6
Clarity Services,288,288,207,288,260,140,0,284,242,35,243,288,288,288,288,90,288
Clark County Collection Service,123,123,119,123,121,53,0,122,120,22,88,123,123,123,123,69,123
"Clarkson Law Firm, LLC",6,6,6,6,6,1,5,5,5,0,3,6,6,6,6,2,6
Clarksville Mortgage Corporation,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Class Financial,2,2,2,2,1,2,1,2,1,0,2,2,2,2,2,1,2
Clay Chapman Iwamura Pulice & Nervell,21,21,21,21,17,5,0,21,21,0,5,21,21,21,21,21,21
Clayton Holdings LLC,4,4,4,4,1,0,0,4,4,1,0,4,4,4,4,4,4
"Clear Debt Solutions, LLC",110,110,105,110,105,34,45,109,103,15,60,110,110,110,110,98,110
"Clear Recovery, Inc.",33,33,33,33,33,9,9,33,31,7,15,33,33,33,33,21,33
"Clear Title Solutions, Inc.",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
ClearLine Loans LLC,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
"ClearOne Advantage, LLC",32,32,32,32,9,15,17,30,25,8,21,32,32,32,32,7,32
ClearPath Lending,15,15,15,15,1,7,14,14,12,10,12,15,15,15,15,3,15
Clearview Resolution Services,26,26,25,26,24,19,5,26,21,3,25,26,26,26,26,11,26
Client Financial Services of Michigan LLC,6,6,6,6,6,1,3,6,6,0,2,6,6,6,6,5,6
"Client Services, Inc.",238,238,234,238,233,71,135,236,218,39,135,238,238,238,238,127,238
"Cliff's Finance Co., Inc.",4,4,4,4,3,0,1,4,4,0,3,4,4,4,4,2,4
"Clifton Mortgage Services, LLC",2,2,2,2,1,1,0,2,2,1,1,2,2,2,2,1,2
Climb Credit Inc.,10,10,10,10,10,6,4,10,10,3,10,10,10,10,10,6,10
"ClosingMark Financial Services, LLC",9,9,9,9,0,5,7,9,8,0,6,9,9,9,9,8,9
"Co-Operative Adjustment Bureau, Inc.",14,14,14,14,14,7,11,14,14,3,13,14,14,14,14,3,14
Coast Acceptance Corporation,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
Coast Collection Agency Inc,2,2,2,2,2,0,0,2,2,1,1,2,2,2,2,1,2
Coast to Coast Commercial Collection,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"Coast to Coast Financial Solutions, Inc.",69,69,69,69,69,25,31,69,66,18,43,69,69,69,69,46,69
"Coast2Coast Mortgage, LLC",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
"Coastal Capital Processing, LLC",2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2
"Coastal Credit, LLC",101,101,101,101,73,53,10,99,76,24,84,101,101,101,101,43,101
"Coastal Finance Company, Inc.",10,10,10,10,7,5,4,10,8,0,8,10,10,10,10,4,10
"Coastal Financial Solutions, LLC",41,41,41,41,40,22,20,41,36,5,31,41,41,41,41,31,41
"Coastline Financial Resources, LLC",47,47,47,47,47,23,31,46,42,5,33,47,47,47,47,46,47
Cobalt Mortgage,10,10,10,10,0,2,0,10,10,1,2,10,10,10,10,10,10
"Cochren Bailey & Associates, LLC",5,5,5,5,5,3,3,5,4,0,4,5,5,5,5,5,5
Coconut Point Finance,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Codilis & Stawarski, P.C.",2,2,2,2,0,1,0,2,2,0,1,2,2,2,2,1,2
"Cody Barden Daniels & Palo, Inc.",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
"Cogent Road, Inc.",17,17,14,17,13,9,10,17,14,3,12,17,17,17,17,6,17
Cognition Lending Corporation,40,40,40,40,9,4,1,40,38,1,5,40,40,40,40,38,40
Cohen & Associates,23,23,23,23,23,6,0,23,22,4,9,23,23,23,23,15,23
Cohen Kaplan Tulowitz LLC,10,10,9,10,9,0,0,10,10,0,0,10,10,10,10,10,10
"Cohen McNeile & Pappas, PC",13,13,13,13,13,5,8,13,12,4,5,13,13,13,13,11,13
"Cohen, Roberts & Associates, LLC",4,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,4
"Cohn, Goldberg & Deutsch, LLC",12,12,12,12,11,10,8,12,6,3,12,12,12,12,12,8,12
"Coinbase, Inc.",2954,2954,2954,2954,65,1949,10,2393,2016,212,2854,2954,2954,2954,2954,19,2954
Coldwater Mediation Group LLP,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
Collaborative Resolution Group,5,5,5,5,5,2,1,5,4,1,5,5,5,5,5,5,5
"Collectech Diversified, Inc.",43,43,42,43,42,10,23,41,37,5,25,43,43,43,43,19,43
Collectibles Management Resources,15,15,14,15,15,1,4,15,15,2,4,15,15,15,15,12,15
"Collection Associates, Ltd.",21,21,21,21,20,5,0,21,19,4,14,21,21,21,21,12,21
Collection Bureau Incorporated,42,42,40,42,41,16,30,42,42,4,34,42,42,42,42,27,42
"Collection Bureau Services, Inc.",42,42,42,42,42,22,9,42,33,10,34,42,42,42,42,28,42
Collection Bureau of America Ltd.,358,358,353,358,357,140,2,355,334,41,240,358,358,358,358,188,358
"Collection Bureau of Fort Walton Beach, Inc",75,75,75,75,75,44,41,75,67,12,66,75,75,75,75,21,75
"Collection Bureau of Kansas, Inc.",14,14,14,14,14,8,6,14,10,1,9,14,14,14,14,7,14
"Collection Bureau of Little Falls, Inc.",3,3,3,3,3,1,2,3,3,0,2,3,3,3,3,1,3
Collection Bureau of Walla Walla,12,12,12,12,12,7,5,12,8,3,8,12,12,12,12,8,12
"Collection Bureau of the Hudson Valley, Inc.",169,169,167,169,169,62,1,166,145,22,110,169,169,169,169,88,169
Collection Center Inc,17,17,17,17,17,6,7,17,15,2,10,17,17,17,17,10,17
Collection Consultants of California,245,245,242,245,245,104,0,244,242,19,182,245,245,245,245,132,245
"Collection Information Bureau, Inc.",273,273,271,273,273,123,10,270,251,32,221,273,273,273,273,125,273
Collection Management Company,95,95,95,95,95,35,48,95,80,14,66,95,95,95,95,65,95
"Collection Management Services, Inc.",12,12,10,12,12,3,6,12,12,2,11,12,12,12,12,7,12
"Collection Professionals, Inc (Wyoming)",26,26,26,26,26,6,15,25,22,4,15,26,26,26,26,13,26
"Collection Professionals, Inc. (Macomb, IL)",17,17,17,17,17,6,10,17,12,1,12,17,17,17,17,12,17
"Collection Resources, Inc.",24,24,24,24,24,14,11,24,21,3,24,24,24,24,24,12,24
"Collection Service Center, Inc.",48,48,47,48,48,11,7,48,46,4,36,48,48,48,48,25,48
Collection Service of Nevada,30,30,29,30,30,10,19,30,29,2,20,30,30,30,30,22,30
"Collection Service, Inc.",12,12,12,12,12,5,1,12,10,0,12,12,12,12,12,3,12
"Collection Services, Inc.",26,26,26,26,25,11,11,26,20,6,15,26,26,26,26,21,26
Collection Solutions Inc.,2,2,2,2,2,1,1,2,1,0,2,2,2,2,2,2,2
Collection Specialists,2,2,2,2,2,2,0,2,1,0,2,2,2,2,2,1,2
"Collection Specialists, Inc.",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Collection Technology Incorporated,61,61,61,61,61,19,15,61,57,4,29,61,61,61,61,54,61
"Collection at Law, Inc. A.P.C.",8,8,8,8,8,3,0,7,7,0,4,8,8,8,8,5,8
"Collections & Recoveries Of Pleasantville, Inc.",2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,0,2
"Collections Acquisition Company, Inc.",92,92,91,92,92,41,65,92,83,15,70,92,92,92,92,46,92
Collections Inc,13,13,13,13,13,4,3,12,10,3,7,13,13,13,13,11,13
College Assist,30,30,30,30,30,16,29,30,24,9,23,30,30,30,30,18,30
"College Ave Student Loan Servicing, LLC",11,11,11,11,11,7,10,11,9,0,10,11,11,11,11,1,11
"College Foundation, Inc.",49,49,48,49,48,23,41,49,44,3,42,49,49,49,49,10,49
College Lending Solutions of Salem,2,2,2,2,1,1,0,2,2,0,2,2,2,2,2,1,2
College Loan Corporation,23,23,23,23,19,9,17,23,21,3,17,23,23,23,23,14,23
"Collexx, Inc.",2,2,2,2,2,0,0,2,2,0,1,2,2,2,2,0,2
"Collins & Hilton Asset Group, LLC",83,83,82,83,82,35,57,83,75,10,63,83,83,83,83,30,83
